664
2
37.36,-4.38,Cordoba
37.37,-4.20,Cordoba
37.37,-4.44,Cordoba
37.41,-4.29,Cordoba
37.42,-5.17,Cordoba
37.48,-5.07,Cordoba
37.53,-4.47,Cordoba
37.54,-4.23,Cordoba
38.01,-4.22,Cordoba
38.16,-5.25,Cordoba
38.19,-5.16,Cordoba
38.23,-4.51,Cordoba
38.30,-5.09,Cordoba
42.34,-8.59,Coruna
42.44,-8.39,Coruna
42.46,-9.05,Coruna
42.48,-8.53,Coruna
42.52,-8.33,Coruna
42.53,-8.11,Coruna
42.54,-8.45,Coruna
42.56,-9.12,Coruna
43.05,-8.24,Coruna
43.13,-8.41,Coruna
43.17,-8.13,Coruna
43.22,-8.23,Coruna
43.24,-8.10,Coruna
43.27,-7.51,Coruna
43.29,-8.14,Coruna
43.41,-7.50,Coruna
39.23,-2.24,Cuenca
39.34,-1.54,Cuenca
39.34,-2.43,Cuenca
40.01,-3.01,Cuenca
40.03,-1.40,Cuenca
40.04,-2.08,Cuenca
40.09,-2.43,Cuenca
41.40,2.48,Girona
41.47,3.02,Girona
41.51,3.08,Girona
41.52,2.40,Girona
41.55,3.10,Girona
41.58,3.02,Girona
41.59,2.49,Girona
42.01,2.49,Girona
42.07,2.46,Girona
42.09,2.35,Girona
42.11,2.30,Girona
42.12,2.12,Girona
42.12,2.42,Girona
42.16,2.58,Girona
42.16,3.11,Girona
42.19,2.22,Girona
42.21,3.10,Girona
42.26,1.56,Girona
27.46,-15.35,GranCanaria
27.56,-15.35,GranCanaria
27.58,-15.25,GranCanaria
28.06,-15.25,GranCanaria
28.07,-15.31,GranCanaria
28.08,-15.40,GranCanaria
28.30,-13.53,GranCanaria
29.00,-13.34,GranCanaria
36.44,-3.31,Granada
36.44,-3.41,Granada
36.48,-3.12,Granada
36.54,-3.26,Granada
36.58,-3.03,Granada
37.00,-3.59,Granada
37.10,-4.10,Granada
37.11,-3.35,Granada
37.11,-3.43,Granada
37.15,-3.45,Granada
37.18,-3.09,Granada
37.20,-4.00,Granada
37.24,-3.32,Granada
37.30,-2.46,Granada
37.48,-2.33,Granada
40.25,-2.55,Guadalajara
40.29,-2.44,Guadalajara
40.38,-3.10,Guadalajara
40.46,-2.52,Guadalajara
40.47,-2.37,Guadalajara
40.51,-1.53,Guadalajara
40.57,-3.05,Guadalajara
41.04,-2.39,Guadalajara
41.12,-2.52,Guadalajara
43.03,-2.12,Guipuzcoa
43.05,-2.30,Guipuzcoa
43.07,-2.25,Guipuzcoa
43.08,-2.05,Guipuzcoa
43.11,-2.28,Guipuzcoa
43.13,-2.14,Guipuzcoa
43.17,-1.58,Guipuzcoa
43.17,-2.10,Guipuzcoa
43.18,-1.54,Guipuzcoa
43.18,-2.21,Guipuzcoa
43.19,-1.59,Guipuzcoa
43.20,-1.47,Guipuzcoa
37.13,-7.24,Huelva
37.16,-6.57,Huelva
37.17,-6.51,Huelva
37.23,-6.35,Huelva
37.35,-6.45,Huelva
37.37,-7.15,Huelva
37.54,-6.33,Huelva
37.55,-6.44,Huelva
41.32,0.21,Huesca
41.47,-0.10,Huesca
41.52,0.25,Huesca
41.55,0.11,Huesca
42.02,0.08,Huesca
42.07,0.29,Huesca
42.08,-0.24,Huesca
42.11,0.20,Huesca
42.17,-0.42,Huesca
42.25,0.09,Huesca
42.27,0.04,Huesca
42.31,-0.22,Huesca
42.34,-0.33,Huesca
42.36,-0.08,Huesca
42.37,0.31,Huesca
42.38,-0.09,Huesca
42.42,-0.31,Huesca
38.54,1.26,Ibiza
38.59,1.19,Ibiza
39.05,1.31,Ibiza
37.28,-3.56,Jaen
37.35,-4.05,Jaen
37.39,-3.28,Jaen
37.44,-3.58,Jaen
37.46,-3.47,Jaen
37.47,-3.37,Jaen
37.50,-3.21,Jaen
37.51,-3.05,Jaen
